question_id,course,chapter,chapter_idx,question_text,opt_A,opt_B,opt_C,opt_D,correct_option,answer_text,difficulty,tags,rwanda_focus,explanation
COP-01-01-0001,Copyright & IP,Copyright Basics,1,Which of the following is protected by copyright? (Question 1),Sponsorships,Artist's hairstyle,Lyrics and melody (original expression),Genre label,C,Lyrics and melody (original expression),easy,"copyright,copyright",False,Lyrics and melody (original expression) — Explanation: Lyrics and melody (original expression).
COP-01-02-0002,Copyright & IP,Copyright Basics,1,Which of the following is protected by copyright? (Question 2),Royalty split,ISWC,Genre label,The performer’s fixation in a tangible medium (recording),D,The performer’s fixation in a tangible medium (recording),easy,"copyright,copyright",False,The performer’s fixation in a tangible medium (recording) — Explanation: The performer’s fixation in a tangible medium (recording).
COP-01-03-0003,Copyright & IP,Copyright Basics,1,Which of the following is protected by copyright? (Question 3),Sample rate,Copyright lasts for the life of the author plus a set term (varies by law),Producer's personal bank account,Artist's hairstyle,B,Copyright lasts for the life of the author plus a set term (varies by law),hard,"copyright,copyright",False,Copyright lasts for the life of the author plus a set term (varies by law) — Explanation: Copyright lasts for the life of the author plus a set term (varies by law).
COP-01-04-0004,Copyright & IP,Copyright Basics,1,Which of the following is protected by copyright? (Question 4),Flat fee only,Sample rate,Copyright protects expression not ideas,Sponsorships,C,Copyright protects expression not ideas,hard,"copyright,copyright",False,Copyright protects expression not ideas — Explanation: Copyright protects expression not ideas.
COP-01-05-0005,Copyright & IP,Copyright Basics,1,Which of the following is protected by copyright? (Question 5),Moral rights include attribution and integrity in many jurisdictions,Artist's hairstyle,Public domain status,Bank's interest rate,A,Moral rights include attribution and integrity in many jurisdictions,medium,"copyright,copyright",False,Moral rights include attribution and integrity in many jurisdictions — Explanation: Moral rights include attribution and integrity in many jurisdictions.
COP-01-06-0006,Copyright & IP,Copyright Basics,1,Which of the following is protected by copyright? (Question 6),Bank's interest rate,Sample rate,Works published after creation are still protected automatically,Audio bitrate,C,Works published after creation are still protected automatically,medium,"copyright,copyright",False,Works published after creation are still protected automatically — Explanation: Works published after creation are still protected automatically.
COP-01-07-0007,Copyright & IP,Copyright Basics,1,Which of the following is protected by copyright? (Question 7),Merch revenue,Genre label,Derivative works (arrangements) require permission unless fair use applies,Production credits only,C,Derivative works (arrangements) require permission unless fair use applies,hard,"copyright,copyright",False,Derivative works (arrangements) require permission unless fair use applies — Explanation: Derivative works (arrangements) require permission unless fair use applies.
COP-01-08-0008,Copyright & IP,Copyright Basics,1,Which of the following is protected by copyright? (Question 8),Public performance rights are distinct from mechanical rights,Genre label,Producer's personal bank account,Territory clause,A,Public performance rights are distinct from mechanical rights,hard,"copyright,copyright",False,Public performance rights are distinct from mechanical rights — Explanation: Public performance rights are distinct from mechanical rights.
COP-01-09-0009,Copyright & IP,Copyright Basics,1,Which of the following is protected by copyright? (Question 9),Sample rate,Producer's personal bank account,Flat fee only,Collective management organisations can help license public uses,D,Collective management organisations can help license public uses,medium,"copyright,copyright",False,Collective management organisations can help license public uses — Explanation: Collective management organisations can help license public uses.
COP-01-10-0010,Copyright & IP,Copyright Basics,1,Which of the following is protected by copyright? (Question 10),Registration can simplify enforcement although copyright often exists automatically,Social media username,Producer's personal bank account,Genre label,A,Registration can simplify enforcement although copyright often exists automatically,hard,"copyright,copyright",False,Registration can simplify enforcement although copyright often exists automatically — Explanation: Registration can simplify enforcement although copyright often exists automatically.
COP-02-01-0011,Copyright & IP,Registering & Rights in Rwanda,2,What should an author in Rwanda do to enable collective royalty collection? (Question 1),Album art size,Register with the national society such as Rwanda Society of Authors (RSAU) for collective management,Collecting society name,Production credits only,B,Register with the national society such as Rwanda Society of Authors (RSAU) for collective management,hard,"copyright,registering",True,Register with the national society such as Rwanda Society of Authors (RSAU) for collective management — Explanation: Register with the national society such as Rwanda Society of Authors (RSAU) for collective management.
COP-02-02-0012,Copyright & IP,Registering & Rights in Rwanda,2,What should an author in Rwanda do to enable collective royalty collection? (Question 2),Bank's interest rate,Royalty split,Flat fee only,Keep original dated copies and registration receipts as proof of ownership,D,Keep original dated copies and registration receipts as proof of ownership,hard,"copyright,registering",True,Keep original dated copies and registration receipts as proof of ownership — Explanation: Keep original dated copies and registration receipts as proof of ownership.
COP-02-03-0013,Copyright & IP,Registering & Rights in Rwanda,2,What should an author in Rwanda do to enable collective royalty collection? (Question 3),Rwanda has updated IP laws and guidelines for registration,Social media username,ISWC,Album art size,A,Rwanda has updated IP laws and guidelines for registration,hard,"copyright,registering",True,Rwanda has updated IP laws and guidelines for registration — Explanation: Rwanda has updated IP laws and guidelines for registration.
COP-02-04-0014,Copyright & IP,Registering & Rights in Rwanda,2,What should an author in Rwanda do to enable collective royalty collection? (Question 4),Flat fee only,Social media username,Rwanda Development Board provides IP guidelines and registration support,Streaming count,C,Rwanda Development Board provides IP guidelines and registration support,easy,"copyright,registering",True,Rwanda Development Board provides IP guidelines and registration support — Explanation: Rwanda Development Board provides IP guidelines and registration support.
COP-02-05-0015,Copyright & IP,Registering & Rights in Rwanda,2,What should an author in Rwanda do to enable collective royalty collection? (Question 5),Public domain status,Territory clause,Collective management societies in Rwanda handle public performance royalties,Broadcast license,C,Collective management societies in Rwanda handle public performance royalties,hard,"copyright,registering",True,Collective management societies in Rwanda handle public performance royalties — Explanation: Collective management societies in Rwanda handle public performance royalties.
COP-02-06-0016,Copyright & IP,Registering & Rights in Rwanda,2,What should an author in Rwanda do to enable collective royalty collection? (Question 6),Local registration helps with domestic enforcement and claims,Broadcast license,Flat fee only,Sample rate,A,Local registration helps with domestic enforcement and claims,easy,"copyright,registering",True,Local registration helps with domestic enforcement and claims — Explanation: Local registration helps with domestic enforcement and claims.
COP-02-07-0017,Copyright & IP,Registering & Rights in Rwanda,2,What should an author in Rwanda do to enable collective royalty collection? (Question 7),Authors may affiliate with RSAU for international reciprocal collection,Bank's interest rate,Social media username,Audio bitrate,A,Authors may affiliate with RSAU for international reciprocal collection,hard,"copyright,registering",True,Authors may affiliate with RSAU for international reciprocal collection — Explanation: Authors may affiliate with RSAU for international reciprocal collection.
COP-02-08-0018,Copyright & IP,Registering & Rights in Rwanda,2,What should an author in Rwanda do to enable collective royalty collection? (Question 8),Documentation of contribution (co-writer splits) helps claims,Social media username,Production credits only,Territory clause,A,Documentation of contribution (co-writer splits) helps claims,easy,"copyright,registering",True,Documentation of contribution (co-writer splits) helps claims — Explanation: Documentation of contribution (co-writer splits) helps claims.
COP-02-09-0019,Copyright & IP,Registering & Rights in Rwanda,2,What should an author in Rwanda do to enable collective royalty collection? (Question 9),Genre label,Registering a composition and recording are separate processes,Live performance etiquette,Mechanical rights body,B,Registering a composition and recording are separate processes,hard,"copyright,registering",True,Registering a composition and recording are separate processes — Explanation: Registering a composition and recording are separate processes.
COP-02-10-0020,Copyright & IP,Registering & Rights in Rwanda,2,What should an author in Rwanda do to enable collective royalty collection? (Question 10),Moral rights may still apply even if economic rights are assigned,Merch revenue,Non-disclosure,Producer's personal bank account,A,Moral rights may still apply even if economic rights are assigned,hard,"copyright,registering",True,Moral rights may still apply even if economic rights are assigned — Explanation: Moral rights may still apply even if economic rights are assigned.
COP-03-01-0021,Copyright & IP,Licensing & Royalties,3,Which license is commonly required to place a song in an advertisement? (Question 1),Artist's hairstyle,Bank's interest rate,Streaming count,A synchronization license is used to place a song in a film or TV ad,D,A synchronization license is used to place a song in a film or TV ad,hard,"copyright,licensing",False,A synchronization license is used to place a song in a film or TV ad — Explanation: A synchronization license is used to place a song in a film or TV ad.
COP-03-02-0022,Copyright & IP,Licensing & Royalties,3,Which license is commonly required to place a song in an advertisement? (Question 2),Genre label,Broadcast license,Publishing rights cover the composition; master rights cover the recording,Tax ID,C,Publishing rights cover the composition; master rights cover the recording,easy,"copyright,licensing",False,Publishing rights cover the composition; master rights cover the recording — Explanation: Publishing rights cover the composition; master rights cover the recording.
COP-03-03-0023,Copyright & IP,Licensing & Royalties,3,Which license is commonly required to place a song in an advertisement? (Question 3),Sync fee,Mechanical licenses are needed for reproductions (physical or digital),Bank's interest rate,ISWC,B,Mechanical licenses are needed for reproductions (physical or digital),hard,"copyright,licensing",False,Mechanical licenses are needed for reproductions (physical or digital) — Explanation: Mechanical licenses are needed for reproductions (physical or digital).
COP-03-04-0024,Copyright & IP,Licensing & Royalties,3,Which license is commonly required to place a song in an advertisement? (Question 4),Collecting society name,Sponsorships,Performance rights organizations collect for public performances and broadcasts,Tax ID,C,Performance rights organizations collect for public performances and broadcasts,easy,"copyright,licensing",False,Performance rights organizations collect for public performances and broadcasts — Explanation: Performance rights organizations collect for public performances and broadcasts.
COP-03-05-0025,Copyright & IP,Licensing & Royalties,3,Which license is commonly required to place a song in an advertisement? (Question 5),Sync fee,Streaming count,Mechanical rights body,"A license defines territory, duration and permitted uses",D,"A license defines territory, duration and permitted uses",medium,"copyright,licensing",False,"A license defines territory, duration and permitted uses — Explanation: A license defines territory, duration and permitted uses."
COP-03-06-0026,Copyright & IP,Licensing & Royalties,3,Which license is commonly required to place a song in an advertisement? (Question 6),Artist's hairstyle,Production credits only,Royalty splits should be stated clearly in agreements,Genre label,C,Royalty splits should be stated clearly in agreements,easy,"copyright,licensing",False,Royalty splits should be stated clearly in agreements — Explanation: Royalty splits should be stated clearly in agreements.
COP-03-07-0027,Copyright & IP,Licensing & Royalties,3,Which license is commonly required to place a song in an advertisement? (Question 7),Ticket sales,Producer's personal bank account,Collecting societies distribute royalties based on usage reports,ISWC,C,Collecting societies distribute royalties based on usage reports,easy,"copyright,licensing",False,Collecting societies distribute royalties based on usage reports — Explanation: Collecting societies distribute royalties based on usage reports.
COP-03-08-0028,Copyright & IP,Licensing & Royalties,3,Which license is commonly required to place a song in an advertisement? (Question 8),Sync deals typically include a fee and possibly a share of revenue,Exclusive territory,Streaming count,Royalty split,A,Sync deals typically include a fee and possibly a share of revenue,easy,"copyright,licensing",False,Sync deals typically include a fee and possibly a share of revenue — Explanation: Sync deals typically include a fee and possibly a share of revenue.
COP-03-09-0029,Copyright & IP,Licensing & Royalties,3,Which license is commonly required to place a song in an advertisement? (Question 9),Licensing for samples requires permission from rights holders,ISWC,Mechanical rights body,Streaming count,A,Licensing for samples requires permission from rights holders,medium,"copyright,licensing",False,Licensing for samples requires permission from rights holders — Explanation: Licensing for samples requires permission from rights holders.
COP-03-10-0030,Copyright & IP,Licensing & Royalties,3,Which license is commonly required to place a song in an advertisement? (Question 10),Royalty accounting includes deductions and admin fees in many deals,Royalty split,Sponsorships,Production credits only,A,Royalty accounting includes deductions and admin fees in many deals,easy,"copyright,licensing",False,Royalty accounting includes deductions and admin fees in many deals — Explanation: Royalty accounting includes deductions and admin fees in many deals.
